"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sat Jun 13 12:22:42 BST 2020","Sat Jun 13 12:22:42 BST 2020","0","","performing web interatction","","performing web interatction","drag and drop test case","drag and drop test case",""
"passed","Sat Jun 13 12:22:36 BST 2020","Sat Jun 13 12:22:39 BST 2020","2914","","damostrate data driven test","","damostrate data driven test","home page data driven using dataprividerurlCurrent_Content_SecondDataSets","home page data driven using dataprividerurlCurrent_Content_SecondDataSets",""
"passed","Sat Jun 13 12:23:39 BST 2020","Sat Jun 13 12:23:48 BST 2020","8204","","demo automation homepage demo","","demo automation homepage demo","populating the register formurlCurrent_Content_ThirdDataSets","populating the register formurlCurrent_Content_ThirdDataSets",""
"skipped","Sat Jun 13 12:23:20 BST 2020","Sat Jun 13 12:23:20 BST 2020","0","","performimg menu actions","","performimg menu actions","encountered a declaration exception","encountered a declaration exception",""
"passed","Sat Jun 13 12:22:30 BST 2020","Sat Jun 13 12:22:36 BST 2020","6002","","damostrate data driven test","","damostrate data driven test","home page data driven using dataprividerurlCurrent_Content_FirstDataSets","home page data driven using dataprividerurlCurrent_Content_FirstDataSets",""
"passed","Sat Jun 13 12:23:50 BST 2020","Sat Jun 13 12:23:54 BST 2020","4257","","verifyiong page titles","","verifyiong page titles","vrifying opage title for subMenuPageTitle2","vrifying opage title for subMenuPageTitle2",""
"passed","Sat Jun 13 12:22:39 BST 2020","Sat Jun 13 12:22:42 BST 2020","2661","","damostrate data driven test","","damostrate data driven test","home page data driven using dataprividerurlCurrent_Content_ThirdDataSets","home page data driven using dataprividerurlCurrent_Content_ThirdDataSets",""
"passed","Sat Jun 13 12:23:30 BST 2020","Sat Jun 13 12:23:39 BST 2020","9729","","demo automation homepage demo","","demo automation homepage demo","populating the register formurlCurrent_Content_SecondDataSets","populating the register formurlCurrent_Content_SecondDataSets",""
"passed","Sat Jun 13 12:23:20 BST 2020","Sat Jun 13 12:23:30 BST 2020","9673","","demo automation homepage demo","","demo automation homepage demo","populating the register formurlCurrent_Content_FirstDataSets","populating the register formurlCurrent_Content_FirstDataSets",""
"failed","Sat Jun 13 12:22:42 BST 2020","Sat Jun 13 12:23:20 BST 2020","38190","","performing web interatction","","performing web interatction","selectable vrification test demo","selectable vrification test demo",""
"skipped","Sat Jun 13 12:23:20 BST 2020","Sat Jun 13 12:23:20 BST 2020","0","","performimg menu actions","","performimg menu actions","vrifying ACCRON DISPLAYED test  scenario","vrifying ACCRON DISPLAYED test  scenario",""
"passed","Sat Jun 13 12:23:54 BST 2020","Sat Jun 13 12:23:59 BST 2020","5181","","verifyiong page titles","","verifyiong page titles","vrifying opage title for subMenuPageTitle3","vrifying opage title for subMenuPageTitle3",""
"passed","Sat Jun 13 12:23:48 BST 2020","Sat Jun 13 12:23:50 BST 2020","2303","","verifyiong page titles","","verifyiong page titles","vrifying opage title for subMenuPageTitle1","vrifying opage title for subMenuPageTitle1",""
